,author,review,date,critic_score,publication,review_link
17,Calvin Wilson,"A comic-book flick that’s as thrilling and enthralling as it is pretentious and preposterous. The story is just an excuse for the action sequences, and the Marvel strategy remains intact: When in doubt, blow stuff up.",2018-04-26,75,st louis post dispatch,http://www.stltoday.com/entertainment/movies/reviews/avengers-infinity-war-is-thrilling-and-preposterous/article_fafed75f-d628-5377-ba08-85785d773e0f.html
18,Dominick Suzanne-Mayer,"It’s exhausting, but it’s also frequently effective. It’s surface-level with its emotional beats, but a number of them still land, largely thanks to the continuously all-in performances of the series’ endlessly patient stars. It’s an event that advertises itself as an event in every way, while somehow still managing to justify the immense hype around it.",2018-04-25,75,consequence,https://consequenceofsound.net/2018/04/film-review-avengers-infinity-war-is-an-overwhelming-spectacle-in-every-way/
19,Moira Macdonald,"It’s filled with moments that click, but it just feels too big.",2018-04-24,75,the seattle times,https://www.seattletimes.com/entertainment/movies/avengers-infinity-war-has-thrilling-battles-and-moments-that-click-but-feels-a-bit-overstuffed/
20,Sara Stewart,All the past decade’s Marvel movies have been heading toward this showdown. Turns out the payoff was worth the wait.,2018-04-24,75,new york post,https://nypost.com/2018/04/24/superheroes-battle-to-the-death-in-thrilling-avengers-infinity-war/
21,Richard Lawson,"There are moments of high drama in Infinity War—between father and daughter, brother and brother, mentor and protégé, lover and lover—that these actors, as deep in this series as we are, deliver on with teary intensity. And there’s a haunting final sequence that is as grave and, I daresay, almost poetic as anything the film series has done.",2018-04-24,75,vanity fair,https://www.vanityfair.com/hollywood/2018/04/avengers-infinity-war-review-a-fine-salute-to-those-about-to-die
22,Michael O'Sullivan,"Infinity War is big, blustery and brave, taking viewers to places that they may not be used to going.",2018-04-24,75,washington post,https://www.washingtonpost.com/goingoutguide/movies/avengers-infinity-war-is-stunningly-dark-but-its-still-wildly-entertaining/2018/04/24/6de7aefc-4291-11e8-ad8f-27a8c409298b_story.html?utm_term=.3cb9dc751de3
23,Chris Nashawaty,What saves Infinity War from being just another bloated supergroup tour – and what will end up being the thing that blows fans’ minds to dust – is the film’s final stretch.,2018-04-24,75,entertainment weekly,http://ew.com/movies/2018/04/24/avengers-infinity-war-review/
24,Eric Kohn,"As a virtuoso juggling act, Infinity War has no real parallel in popular culture; as a movie, it’s an impressive montage of greatest hits until the gut punch of a finale.",2018-04-24,75,indiewire,http://www.indiewire.com/2018/04/avengers-infinity-war-review-1201956706/
25,Peter Travers,"Avengers: Infinity War leaves viewers up in the air, feeling exhilarated and cheated at the same time, aching for a closure that never comes ... at least not yet.",2018-04-24,75,rolling stone,https://www.rollingstone.com/movies/reviews/peter-travers-avengers-infinity-war-movie-review-w518966
26,Mike Ryan,"So, for basically 90 percent of this movie, I’m sitting there thinking, Okay, this is awesome. Then things changed slightly. And I need to be clear: not to the point it changes how I feel about the movie. I still enjoyed it immensely. But Infinity War did send me out on an unfulfilled note, which, to be fair, is probably by design",2018-04-24,70,uproxx,https://uproxx.com/movies/avengers-infinity-war-review-marvel/
27,David Edelstein,"Flagrantly, bombastically extravagant, it plays its audience like a hundred million fiddles.",2018-04-24,70,new york magazine vulture,http://www.vulture.com/2018/04/avengers-infinity-war-review.html
28,Justin Chang,"Whatever else it may be — a culmination, an obligation, a staggering feat of crowd control, a truly epic tease — Avengers: Infinity War is a brisk, propulsive, occasionally rousing and borderline-gutsy continuation of a saga that finally and sensibly seems to be drawing to a close.",2018-04-24,70,los angeles times,http://www.latimes.com/entertainment/movies/la-et-mn-avengers-infinity-war-review-20180424-story.html
29,Alan Scherstuhl,The Russos and the hundreds of craftspeople who worked on this film have dreamed up marvelous battles — especially the one where a motley assortment of heroes take their cracks at the purportedly unstoppable Thanos. But only once here did an intergalactic vista catch my breath the way a splash page in a Silver Surfer comic might.,2018-04-24,70,village voice,https://www.villagevoice.com/2018/04/24/yes-infinity-war-goes-on-forever-but-thanos-makes-it-worth-the-time/
30,Alex Abad-Santos,"Infinity War boasts the most breathtaking, audacious moment in superhero movie history, one that rocketed through my brain and tore apart everything I thought I knew about the past 10 years of Marvel moviemaking. For the first time in a while, I can’t wait to see what happens next.",2018-04-24,70,vox,https://www.vox.com/culture/2018/4/24/17273954/avengers-infinity-war-review
31,Matt Donato,"Avengers: Infinity War cares a bit too much about being ""Part 1"" and holding enough development for ""Part 2,"" but MCU fans should see their 10-year buildup expectations met - not exceeded, but met.",2018-04-24,70,we got this covered,http://wegotthiscovered.com/movies/avengers-infinity-war-review-2018/
32,Alonso Duralde,"Directors Joe and Anthony Russo move their many playing pieces around with as much grace as possible, and they offer up jolts of pleasure throughout.",2018-04-24,70,thewrap,https://www.thewrap.com/avengers-infinity-war-film-review-marvel-mcu/
33,Peter Rainer,"Some of the sequences are undeniably thrilling but, at about 2-1/2 hours, overkill sets in early.",2018-04-27,67,christian science monitor,https://www.csmonitor.com/The-Culture/Movies/2018/0427/Avengers-Infinity-War-is-often-like-watching-one-interminable-battle-scene
34,Jordan Raup,"This story may be on its last legs, but as table-setting for an even bigger threat, Infinity War daringly leaves more questions in the air. The way this world ends looks to be not with a bang, but a whimper.",2018-04-24,67,the film stage,https://thefilmstage.com/reviews/review-avengers-infinity-war-is-an-operatic-beginning-of-the-end/
35,Ty Burr,"Picking up where Joss Whedon, director of the first two “Avengers” films, left off, sibling filmmakers Anthony and Joe Russo have so many pairings and sparrings to work through that the movie is essentially a mixed martial arts extravaganza with a severely overcrowded undercard.",2018-04-25,63,boston globe,http://www.bostonglobe.com/arts/movies/2018/04/25/avengers/DgBy3ejpqwDAxIALCfxZRP/story.html
36,Gary Thompson,"Characters overflow on the screen, crowding out emotional investment, and there is a severely misplaced emphasis on the power of special effects — many characters appear to be entirely digitized, and none has much screen impact.",2018-04-25,63,philadelphia daily news,http://www.philly.com/philly/entertainment/movies/infinity-war-avengers-review-20180425.html
37,Matt Zoller Seitz,"This movie shouldn't just engage and amuse and occasionally move us; it should shock and scar us. It should kill Ned Stark and Optimus Prime and Bambi's mommy, then look us in the eye after each fresh wound and say, ""Sorry, love. These things happen.""",2018-04-24,63,rogerebertcom,https://www.rogerebert.com/reviews/avengers-infinity-war-2018
38,Jake Coyle,It’s really the simple pleasure of seeing so many good actors together that makes “Infinity War” — an “Ocean’s Eleven” in hyper drive — work.,2018-04-24,63,the associated press,"https://apnews.com/105052a9b60e4421b66f71fea0b9040c/Review:-In-'Avengers:-Infinity-War,'-Marvel-goes-nuclear"
39,Tim Robey,"Organisationally, the movie has a struggle on its hands not to seem like the contents of a toy chest simply chucked down the stairs, with all the chaos of limbs and accessories that implies.",2018-04-24,60,the telegraph,https://www.telegraph.co.uk/films/0/avengers-infinity-war-review-crowd-pleasing-action-disappointingly/
40,Bill Goodykoontz,"Thanos is the most interesting, and most complex, character here.",2018-04-24,60,arizona republic,https://www.azcentral.com/story/entertainment/movies/billgoodykoontz/2018/04/24/movie-review-avengers-infinity-war-marvel-mcu/521544002/
41,Joshua Rothkopf,"It’s hard to give sibling co-directors Joe and Anthony Russo (makers of the thornier Captain America films) any credit—or blame, really—for steering a product that’s been so corporately fine-tuned. They toggle dutifully between million-dollar quips and Wrestlemania smackdowns, and when they find room for a vista of galactic stillness, it’s not out of any inspired vision so much as the need for air.",2018-04-24,60,time out,https://www.timeout.com/us/film/avengers-infinity-war
42,Matt Singer,"I appreciate the sheer logistical achievement of Infinity War (and the chutzpah of its ending). I laughed a bunch of times, and some of the scenes are definitely exciting. But I would be lying if I pretended this movie ever grabbed me the way the best MCU movies did.",2018-04-24,60,screencrush,http://screencrush.com/avengers-infinity-war-review/
43,A.A. Dowd ,"Infinity War inherits plenty of the problems endemic to crossovers: the privileging of quantity over quality, of spectacle over story, and of the shock value of major changes to the status quo over just about everything else.",2018-04-25,58,the av club,https://film.avclub.com/infinity-war-is-just-way-too-much-movie-for-one-avenger-1825523778
44,Anthony Lane,"The plot consists of bits: a fiery slugfest, a pause for bonding, a quick weep, and a patch of jokey repartee, before the slugging returns. Acts of sacrifice are dotted throughout, and we are urged to applaud the burgeoning fellowship of those who unite against Thanos, but, in truth, it’s every man for himself.",2018-04-30,50,the new yorker,https://www.newyorker.com/magazine/2018/05/07/avengers-infinity-war-and-let-the-sunshine-in
45,Joe Morgenstern,"As for everything that happens this time around, it’s a function — or malfunction — of the sequel’s two-part structure. The problem is penultimateness, too much setup and too little payoff. The solution comes, presumably, around the same time next year.",2018-04-25,50,wall street journal,https://www.wsj.com/articles/review-avengers-gets-an-incomplete-1524674743?tesla=y
46,Mick LaSalle,"Over the last few years, the Avengers, together and separately, have spawned a number of good, very good, or reasonably entertaining movies. But with Avengers: Infinity War, the Marvel Comics franchise arrives at the stage of decadence. There’s just too much of it. A victim of its own success, there are just too many appealing characters here to stuff into one story.",2018-04-25,50,san francisco chronicle,https://www.sfgate.com/movies/article/Marvel-s-Avengers-Infinity-War-is-too-12863952.php
47,Michael Phillips,"The film has its momentary diversions, a few good throwaway jokes amid a tremendous amount of PG-13 maiming and destruction.",2018-04-24,50,chicago tribune,http://www.chicagotribune.com/entertainment/movies/sc-mov-avengers-infinity-rev-0424-story.html
48,Roger Moore,"Ordinary rules of drama don’t apply in the Marvel Universe, so expecting Avengers: Infinity War to build suspense, reach a climax and deliver some sort of conclusion is just…unreasonable.",2018-04-24,50,movie nation,https://rogersmovienation.com/2018/04/25/movie-review-avengers-infinity-war-isnt-actually-infinitely-long/
49,A.O. Scott,"Where you end up may not be where you thought this was going. The final act, including the post-credits sting (to infinity and beyond, as it were) brings a chill, a darkness and a hush that represent something new in this universe.",2018-04-24,50,the new york times,https://www.nytimes.com/2018/04/24/movies/avengers-infinity-war-review.html
50,Keith Uhlich,Infinity War is all manic monotony. It's passably numbing in the moment. And despite the hard-luck finish—something an obligatory post-credits sequence goes a long way toward neutering—it's instantly forgettable.,2018-04-24,50,slant magazine,https://www.slantmagazine.com/film/review/avengers-infinity-war
51,Sam Adams,Sitting through its 2 hours and 30 minutes is like gorging on tapas: You wind up both overstuffed and unsatisfied.,2018-04-24,40,slate,https://slate.com/culture/2018/04/avengers-infinity-war-reviewed.html
52,Stephanie Zacharek,"There’s no pacing in Avengers: Infinity War. It’s all sensation and no pulse. Everything is big, all of the time.",2018-04-24,40,time,http://time.com/5252727/avengers-infinity-war-review/
53,John Semley,"Even by Marvel’s own standards of serviceable mediocrity, Infinity War fails.",2018-04-24,38,the globe and mail toronto,https://www.theglobeandmail.com/arts/film/reviews/article-review-even-by-marvels-own-standards-of-mediocrity-avengers/
