,user,review,date,user_score,review_votes,review_upvotes,review_downvotes,language
25,funkytastikk,"slightly disappointing end to the avengers saga. It only kept you on the edge but never got you to jump. personally i felt it lacked action scenes for example, hulk never got to fight thanos and captain marvel came towards the end only. yes i understand there was going to be certain number of dialogue to be made to complete the story but still, as an ending and a 3 hour movie i felt the content should have been more. the movie focused too much on the feels and not so much on the works. in the end its a decent ending but still felt it could have been pushed more.7.5-8/10",2019-04-26,7,23,17,6,English
26,Moish,"It is good closure for this saga of 22 films a great homage to Iron Man and Robert Downey Jr. that started this whole thing up, a well managed to a certain point plot about time travel that has its plot holes without which you couldn't justify more than one event in the movie, the most commonly complained aspects I've watched are Professor Hulk, fat Thor and the scene of just superheroines, and they're not bad those have a justification among some other things like several deus ex machinas, the third act is super epic and it's fan service well done not like Batman V Superman where is poorly executed but it is not enough for me to be a better movie in general than Infinity War. More than the plot holes or the ridiculousness of the jokes what I disliked the most was how impertinent they were with the product placement, a commercial for Fortnite, a commercial for Axe and the most brazen of all the Audi one, its clear they gave more priority to other things that make it a coherent film with cinematographic arguments.",2019-05-08,8,42,31,11,English
27,Etilias,"You've seen it, you know its perfect. Best Marvel movie to date and an amazing conclusion to the Infinity saga.",2019-05-25,10,38,28,10,English
29,ShaqDaddy,"This was probably one of, if not the best, marvel movie I have ever seen. It was both exciting and hilarious, but also emotionally invested in its characters. So in other words, a fitting and well-made conclusion.",2019-05-22,10,45,33,12,English
31,Calmacil,"Epic and emotional conclusion to the Infinity Saga and the first phases of the MCU.Endings are hard and often a letdown. For Marvel to get it so right is an incredible achievment.This movie has so many awesome moments, it would take about three hours to list them all.According to box office, everyone and their mother has already seen it. But if you haven‘t, go see it in the biggest cinema you find.",2019-05-07,10,48,35,13,English
32,The-Lucky-Lucas,"After being the 22nd movie in the franchise, it brings the series to new heights. This movie is best benefited by those who have watched most of, if not all of the Marvel films. Throwbacks and characters appear from more than last decade of movies. The acting and comedy is on point with every joke hitting perfectly and every actor showing their passion for the role. The movies set pieces are perfect with sets from past movies. The action, humor and overall story telling shows the passion that not only the Russo brothers had for this film but everyone involved. The story concludes the 22 films perfectly while also leaving character arcs open for future MCU movies. This movie deserves the praise and excites me for future MCU movies in the future. This movie is a roller coaster which can be benefited most by those who have seen many of the other marvel films. Thank you to all those involved in the production of this movie, you have created a great films!",2019-05-07,10,48,35,13,English
33,HarrisonPL,"Must watch especially when you are real Marvel fan! Easter Eggs, catchy phrases, some great scenes (Portals!) and absolutely great music, by Alan Silvestri",2019-05-18,9,48,35,13,English
34,TJAMES6,It's a little to long in the beginning but great middle and ending. I would like to know what's next. This movie is something that need another Sequel,2019-05-19,8,48,35,13,English
35,AmirhShamloo,The Best super-heroic movie EVER! The MOST Sentimental movie MCU has ever revealed. It's about 3 hours but you just get lost in the movie and suddenly find out the movie has finished. It makes you laugh and then brings your tears out and leaves you confused and stunned. EXCELLENT!!!,2019-05-03,10,55,40,15,English
38,JayMoe,"Summary: Avengers Endgame is like starting to enjoy the best sex of your life, and just when you get to that special moment.....your kids walk into your bedroom. Negatives: There are some girl power scenes that are just too conspicuous. I would have rather had the messages conveyed to me in a more subtle way and not rammed down my throat. Speaking of conspicuous, Bree Larson is out of place in Endgame. Her scenes with the other cast members in some way seem as if they were not a part of the original plan for the movie. The chemistry was just not there. I don't have a problem with Bree or her causes, she can express her opinion on whatever she likes. I just don't think she is ready to take the mantle as Marvels next big attraction. The next problem I had with Endgame is some of the character arcs the directors decided to use for Thor and Hulk. There is definitely some room for improvement. Now for the positives! The movie, for the most part, is a fantastical journey of over 11 years culminated into one giant thank you to the fans of the comic, and moviegoers alike. I loved the action, the heartache, and the triumphal moments that Endgame provided over the 3 hours of film time. You find yourself cheering, crying, and on the edge of your seat at times wanting to see your favorite Avenger give his or her due to Thanos. Thor and Rocket are hilarious! This movie is not a waste of time and you will be thoroughly entertained.",2019-04-26,7,47,34,13,English
39,MarvelJoe,"This movie is more emotional than Infinity War. 22 movies, all characters, character development, humor, intense moment, coming together in one movie. Some people probably don't understand the movie or not what they excepted, but what you get is what you got.",2019-04-28,10,36,26,10,English
40,Ken_Heisenberg,"Yes the movie is that good. For any Marvel universe fan this is a must-see movie as it is the last one and arguably the best one. It's a pity that some of the heroes die, which means we definitely won't see them again. The ending is very beatiful.",2019-05-01,8,43,31,12,English
41,noobmaster,"This movie is a solid 10/10 . I know its not perfect but it is a great movie . The action, drama , emotional content and humor is very good . As a long time MCU fan the emotions this movie gave me was heartwarming and heartbreaking . Most hater will nitpick every lil things but in general they re ruining their movie experience and as far as nitpicking goes most of them dont even  make sense it kinda seems like their personal agenda or something to just hate on the movie (DC fan boi alert) . We have been taking the MCU for granted , sure they make tons of money now but rather than hating on everything just be happy to see a movie of this scale . Tbh i appreciate DCEU s efforts but they have spoiled their iconic characters like superman and batman , im still onboard for the next JL film i hope they dont screw it up.",2019-04-29,10,43,31,12,English
42,Ellessar,"It's a good conclusion to a 21 movie saga.  It's not perfect, a little longer than it needs to be, but it's a very enjoyable film.  A trip down memory lane of 10 years of marvel movies.",2019-04-26,9,50,36,14,English
43,niolax,"This movie was the best movie that the MCU has made, in fact, i dare to say that it is the best movie ever. It is emotional, epic and it gives you chills because of its greatness. It has incredible action scenes and many easter eggs that marvel fans can find. It is definitely worth watching. The reason it is so incredible is because every movie the MCU made was made thinking in this last movie and you can clearly see it.",2019-04-29,10,50,36,14,English
44,D3M0N07,"Best Avengers movie. . .GOOD story line, GOOD emotional impact, GOOD ending, GOOD Action. . .everything make this movie best. . .",2019-04-28,10,46,33,13,English
45,Ilias_Ksle,"Easily one of my favorite movies out there. It is a must watch for all audiences. It is thrilling and captivating, especially the ending. I loved how the plot was written and the fact that I watched the movie in a Dolby Atmos room felt like I had the immersion. You won't regret watching this movie, so what are you waiting?",2019-05-06,10,46,33,13,English
46,SmashEBrada,"Sure, the first act's pacing is kinda off, and some of the characters are extremely underrepresented (ex. Captain Marvel, Valkyrie, Shuri), but due to just the right amount of fan service and the best final act in Marvel history make this movie one of the best in Marvel Cinematic Universe and one of the best of 2019.",2019-05-04,9,46,33,13,English
47,DevPrakash,"Nothing wrong in this 22nd Movie by Marvel Studios. An epic conclusion and a tragic end. Every dialogues, scenes are meticulously scripted hats off to Russo Brothers and Executive Producer Joss Whedon.",2019-04-27,10,46,33,13,English
49,GotHurt,"Funny, exciting, and shocking if you weren't already spoiled by someone. Avengers: Endgame does an amazing job of wrapping up 11 years of the Marvel Cinematic Universe. If you've been with the series all along, then you are guaranteed to cry at least 3 times during the movie, and use the bathroom right before you enter the theater!",2019-05-21,10,53,38,15,English
50,Deependra,"Not being a blind fanboy or been effected by hype, I can say that,The end game definitely lives up the hype but, only for last 30-45mins. The first half of the movie was filled up more with funny humour and unexpected condition of heroes after losing to Thanos in infinity war. Inshort, it falls flat in my opinion.I personally feel that Infinity war was better than end game due to ""powerful"" foundation of story and the fear of Thanos was very well projected.",2019-04-29,8,49,35,14,English
51,The_LizardKing,"This movie wraps up the wonderful Marvel Cinematic Universe amazingly. It is very entertaining, intense, and emotional. The jokes aren't as good as in other movies, like Spiderman or Thor: Ragnarok, but they still exist. The plot wasn't what I expected and there are a lot of plot twists and entertaining characters. Overall, I give this movie a 10 out of 10 and it is probably my second favorite Marvel Movie behind Thor: Ragnarok.",2019-05-10,10,49,35,14,English
52,sizukajingjing,As a fans of Marvel. Endgame gives me a perfect end for the first stage of Marvel universe,2019-04-26,10,35,25,10,English
53,HealingToolbox,"Much, much better than it needed to be.  KPCC critics were right, the best scenes are not CGI or action, they are dialogue scenes.  You can't say that for any other Marvel movie I can recall.  I loved the whole Thor goes to pot arc.  It added much dimension to the character.  In the credits the main Avengers actors each sign their name in handwriting.  The whole she-bang, and this movie--definitely worth putting your name to.",2019-05-05,9,52,37,15,English
54,seifalnasr,best movie for me i love the marvel movies and i hope to stay like that and i love all heroes but i Waite the best movie black wood,2019-05-22,9,45,32,13,English
56,NezharMC,"A movie that seems like 3 movies fused: A part about regret and defeat, a part about a time heist and another that is the great battle we've all been waiting for.The humor is hit or miss, with some jokes being repeated too many times (Fat Thor). The time travel part creates a huge amount of plotholes, but it's interesting indeed.The movie lends too much time for the first part, filling much of the 3 hours of the movie. The main characters on this movie are the original avengers, whose story ends in this movie. The best part about this movie is how it ties up all the storylines of the MCU in a satisfying conclusion.It is a worse movie than Infinity War but it definitely isn't a disappointment. However it gives me the idea that the future of the MCU won't be that great, seeing as the most important Avengers in the next phase are mostly absent (I still don't see Captain Marvel as the leader of the New Avengers, it is still an undeveloped character).Hawkeye/Ronin's storyline is compelling and Scarlett Johansson works the best as Black Widow in this movie, although her sacrifice scene is a bit odd.The final battle against Thanos is compelling although being time travel Thanos makes it less dramatic. The battle between Thanos and Scarlet Witch could have been more emotional with a Thanos that killed Vision.Tony Stark's sacrifice is compelling as the end of Stark's character development, becoming a symbol for the hope of humanity and the Avengers. From being an arrogant and egotistical man to a selfless yet still arrogant hero, fighting for the future.",2019-05-03,8,45,32,13,English
58,mwrvelz,I have no idea how to describe this movie without the word EPIC. Finally a complete end to the firts Marvel's superheroes.,2019-04-27,10,45,32,13,English
59,Ruslan1327,"This final...this epic, it is not transferable! This film is a must-see! Spoiler! I still can't get over Tony stark's death!",2019-05-07,10,45,32,13,English
61,Shangchaos,"Great movie, sadly some of the plot holes and overly funny scenes make this movie not perfection. But in summary, this is still a worthwhile movie for MCU's 11-year journey",2019-04-28,8,48,34,14,English
62,Hyperior4200,"The reasons why I like this movie1. Not uninteresting humor.2. Awesome and touching story.3. Many heroes unite like the name 'Avengers'4. Awesome villain(Thanos).5. Many awesome lines (I love you 3000, Avengers assemble, Whatever it takes, etc.)6. Great action scene7. The successful final8. Lots of Unexpected things9. Iron Man10. IT'S MARVEL!",2019-05-20,10,51,36,15,English
63,yoshi594,"A satisfying end to the infinity war saga but the way they did it was also a cheap cop out. Time travel is a cheap way to beat an enemy, albeit the way they handled time travel is refreshing . Marvel could have looked to the comics for inspiration and even extend the thanos/infinity stone saga even more so.This movie is 100% fan service as they close the book on the future of the original avengers bar Hulk.",2019-05-24,8,44,31,13,English
64,Infinity_Gauntl,Awesome Movie!! I'm not going to spoil it for anyone. This is a must see. Action packed and a tear jerker all in one!There is so much here especially if youve ever been a fan of the comics of just watched the MCU movies!,2019-05-08,10,44,31,13,English
65,SYMP4THY,"It was amazing. Nothing more nothing less, and I am so glad, that they give this movie so much room in story telling. Definitely worth three hours from my free time. I can only recommend this movie.",2019-04-28,10,44,31,13,English
66,Moviecritic43,This is the best MCU film by far. I didn’t think it could get any better than infinity war. I was wrong. Endgame is incredibly emotional and amazing and is a great conclusion to the infinity saga. Endgame is also one of the best superhero films I’ve ever seen.,2019-04-29,10,44,31,13,English
67,youmedead,"I'm not entirely sure how to start this review. I've taken some time after seeing the movie to sit on it and reflect on it to see if my initial opinions on it would change, but I still stand by what I said the instant I walked out of the theater. This is without a doubt the greatest superhero movie of all time, and arguably the best movie of all time in general.   Now, part of that opinion comes from the fact that I have sat by the series since 2012 (yeah, I jumped on a little late, sue me) and have been invested in these characters from the original Avengers. Each little detail that they threw into this movie to callback to other movies struck a chord with me because these movies are such a huge part of my life. Only someone truly invested in the characters of a story can be reduced to sobbing by a conversation about cheeseburgers.   Every scene in this movie was expertly designed to fill you with a sense of elation. You can't help but gape at the beauty of some shots, you can't help but cry in the huge moments of emotion, you can't help but laugh at the little things. This movie was designed in a way that it can only be enjoyed after multiple viewings, because you will miss something the first time, and maybe even the second time, because there is just so much stuff shoved into this movie.   From the opening scene of Hawkeye losing his family to the final goodbye to Cap after he gets his dance with Peggy after years of believing she was lost to him forever, you are filled with a sense of awe and wonder. This movie makes you realize just how much you care about these characters, even if you didn't realize it already.   There are two sequences in particular that made this movie stand out to me. There is the part where they are all in the past, going through their previous mishaps, giving these movies a last hurrah, and it just works so well. It was such a fun, nerdy sequence that you can't help but enjoy it.   The other is (shocker) the final battle. What felt like a ten minute explosion of beauty is actually a forty minute epic. We watch as Thanos makes quick work of all our heroes, leaving only Cap. The shot of Cap standing alone against the army is easily my favorite cinematic shot of all time. But then the portals open, and we finally see the scope of this universe. We finally see just how big the world is, and how many characters we have fallen in love with over time. It is one of the most powerful moments in all of cinema.   The fight that ensues is one of the most chaotic, yet perfect battle I have ever seen. And the way it all ends with the Avengers fighting Thanos for the stones, just as in Infinity War, is amazing. This time, Thanos isn't victorious, but only at the loss of one of the greatest characters of all time.   The way Tony is said goodbye to, first from Rhodey, then Spiderman, then Pepper is incredibly powerful. The funeral that ensues and the dreaded cheeseburger scene left not a single dry eye in the theater.   This is truly a masterpiece that was made by people who truly care about these characters, their craft, and making a good movie. We have so much to thank the Russos for, and we should all go see Endgame again. If you haven't seen it yet, watch it. You won't regret it.",2019-05-03,10,44,31,13,English
68,TheMurman,"Endgame was a great movie and I would see it again in theaters. But, Thanos was underused. In my opinion, Infinity War was better because of how much of Thanos was in the movie. Infinity War was his movie and Endgame was the Avengers movie. Thanos was very much a one-faced character in Endgame. If Infinity War and the first act of this movie didn't exist, people would just see Thanos as a very basic villain.That is the only major problem with this movie. The reason I give this movie a 9 is because of how AMAZING the movie was as a whole. The final battle scene. Holy crap! The final battle scene had my heart beating so fast because of Cap's two words. ""Avengers...assemble."" This was a huge moment for me and every other MCU fan in the world because of how far we have come on this journey. Endgame served its purpose as the end of the ""Infinity Saga"" of the MCU. I'd like to see what we have in store for the unannounced future films. There are many questions I have for the future, but please excuse me as I need to go lock myself in my room and cry a little bit more.",2019-05-01,9,44,31,13,English
69,bazzi,"This is the best movie made by marvel. It was the perfect combination of different elements throughout the MCU, and is a perfect wrap up to the infinity saga.",2019-04-28,10,44,31,13,English
70,Ahmedmarvelfan,"This Movie is so amazing, Best Marvel Film, so emotional, this best 3 hours of my life",2019-04-28,10,44,31,13,English
71,xredder,F**king Awesome. Iron man is just so awesome. Captain America was overplayed a little. I felt they didn't do Thor proper justice.,2019-04-28,10,44,31,13,English
72,shiveringkiller,"When i was 7 years old, i saw iron man flying on big screen for the first time and today i am 18 years old and saw the epic ending of the era which i'm gonna remember and cherish my whole life n tell those stories to my children. This is the movie of century which broke box office records and hearts of every MCU fan, this is a dark, humorous, powerful, action-packed, loving, gritty, heartbreaking and a beautiful end to an era which is gonna last for, i hope, FOREVER.P.S. I love them 3000.....",2019-04-28,10,44,31,13,English
73,eastside49er1,"I really enjoyed the movie. Thought it was a great way to end the 22 movies that got us to this point in the MCU. All in all I gave the movie a 9 out of 10. Was not perfect by any means, but if you can put aside suspensions of disbelieve in many of the things that happen, it truly is a superb movie. If you go in to nip pick it to death, then you will probably not enjoy it as much. No doubt there are parts of the movie that drag as well. Lots of twists and turns, especially at the end. No doubt if you are a Marvel movie fan, you have to see this movie. If I had to rate this movie in terms of which was the best Avengers movie, I would put it #3 behind Infinity War and the original Avengers movie, with Age of Ultron bringing up the rear. All 4 movies were superb in their own right. I highly recommend this movie to anyone that enjoys superhero/action type movies.",2019-04-30,9,44,31,13,English
74,Efaz,The culmination of the last 11 years of Marvel movies has lead to this epic conclusion of the pinnacle of the infinity saga. The movie defied all odds and absolutely crushed it out of the park. Brimmed with emotions and swashbuckling fiesta. Avengers: Endgame delivers.,2019-04-30,10,44,31,13,English
75,MarkMakeart,A JAW-DROPPING love letter to comicbook fans and the Marvel Cinematic Universe characters. INCREDIBLE!,2019-05-01,8,44,31,13,English
76,arsenalbrendan,"This review will have spoilers, I rate movie an 8 because it lives up to my expectations and I think it is money well spent to see this movie. But I still think that Infinity wars is a better and no Marvel or other superhero movies could reach that level. Infinity wars has an interesting plot to the movie when at the end of the movie characters feel lost and shattered by the love ones who are taken away from them. Endgame teaches you grief and how to move on and in my opinion that theme was used too much in the movie and was very overwhelming, but during this movie you can see the affect on the characters but not the other 50% of the Universe's population who are still alive. How bad is Thanos's snap? Is Earth's 50% population struggling from this incident? How are they holding up throughout this situation? How did the Thanos snap affect other countries politically? this is one of my complaints about the movie even though it's not that major. Another complaint that I have was during the end battle you see every hero come together and take on Thanos and his army, but Hulk was left out of this and we don't see him until Tony's funeral. I would've loved to see Hulk get back into the action even if it's only 5 seconds of him just smashing and throwing the villains like it's nothing. The only scene where Hulk does fight was when they went back in time and Bruce sees his 2012 self fighting the Chitauris during the first Avengers movie. And that's all I have to say about the movie I think that the movie is very decent and I can't wait to see the affects that everyone goes through without Tony Stark in the World.",2019-05-14,8,44,31,13,English
77,Jarrett847,Perfect movie to end the decade that we spent with the characters and surprisingly Thor is the most human and relatable character in this movie and it’s a great ending to the original 6 avengers I’d recommend this movie to anyone who loves super hero movies and seen most of the other 21 movies,2019-05-15,10,44,31,13,English
78,Tannerkid09,Hands down best movie of the year for me it was sad happy action packed and a great way to finish Tony’s story “I love you 3000”,2019-05-16,10,44,31,13,English
80,Th3StartButton,Pretty **** good I mean sure Black Widow died and Stark(LOVE3000)but like yknow worst case scenario they milk this franchise,2019-05-23,8,44,31,13,English
81,The3AcademySins,"If you look at the past of the Marvel Cinematic Universe; 11 years, 22 films, all leading up to Avengers: Endgame, one can definitely make the argument that this is one of the most ambitious films in human history. As someone who loves all sorts of movies, I do not make this statement lightly. To keep this as concise and spoiler-free as possible, this movie subverted my expectations in major ways, and I was not disappointed. I was grinning like a fool through the entire three hour runtime. There are some minor hiccups, but honestly, so much is tied up so nicely in this film, and Endgame will be a gold standard that epics measure themselves for years to come.",2019-04-26,8,37,26,11,English
82,wildfire_ua,RDJ's best ever performance and a fitting end to a franchise. Even brie larson's utter awfulness as an actor and character wasn't enough to detract from it. truly a masterpiece to thank Russo's for. must watch.,2019-04-29,10,37,26,11,English
83,Blacktrever44,"The perfect END for the 11 years of storytelling and our involvement and investment in those characters. It gives you all you would expect from this movie. The Directors kept the stakes high the whole movie. And yeah Thanos snapped his fingers at the end but you know .....Thanos""I'm inevitable""Tony""And...I am....IRONMAN""❤❤",2019-04-26,10,37,26,11,English
84,poopersmcpoopin,"This movie brought me to tears; several times. When a movie cultivates that much emotion in someone, I declare it as an incredible work of art (or amazing marketing). It never ceased to entertain me and it interested me until the end. The only thing that keeps me from saying that this is the greatest movie I have ever seen, or at least of the 21st Century, is that one must watch all of the 20+ movies beforehand in order to fully feel for the characters and be encompassed by the beauty of what the MCU has come to be. All in all, I would suggest this film to anyone, Marvel fan, movie fan, or bum (because that is the only other thing you can be if you are not the other two).",2019-04-27,10,37,26,11,English
85,spidahman,"This movie is is certainly better than Infinity War on the emotional level but kind of lacks action. By any means I am not saying it doesn't have any spectacular action set pieces, but compared to its predecessor it feels kind of less.(still more action then the first avengers and age of ultron though)",2019-04-27,10,37,26,11,English
86,AY29,"This was one of the better films. Although it lacks action, the great storytelling and emotional moments make it up. Very nice.",2019-04-27,10,37,26,11,English
87,Ngesa,Marvel's Avengers Endgame is the perfect representation of the effort put by Marvel studios over the 10 years course. It manages to walk down the memory lane without overdoing it and its conclusion to the infinity stones saga is truly an Epic. No amount of words can describe the masterpiece created by the Russo brothers and this is truly a worthwhile must watch.,2019-04-27,10,37,26,11,English
88,Barry4202,"I have never submitted a review before, but this movie had me in tears at 4 different points which no other movie has ever achieved. The science behind the story can basically be ignored, but besides that all the jokes are funny as they make fun of different characters in different ways, also no poop jokes or IT'S FUNNY BECAUSE IT IS LOUD moments. During the final half hour of this 3 hour behemoth of a film my legs were shaking as the recognisable score came on, my heart was way over 90 BPM and my eyes teared up again and again. The film is spectacular in every way that matters to the average viewer, I would be disappointed if you didn't watch it. Watch out for spoilers elsewhere.",2019-04-28,10,37,26,11,English
89,TheWaffle,"It's very, very good. Endgame cashes in on all of the great moments and characters of the MCU, and makes a film unlike anything since Return of the King. One complaint is that the film starts stronger than it finishes, Captain America and Black Widow shine in the first act as we see their heart-break over Infinity War. It's incredibly moving watching a regular guy in a support group talk about his first date since Infinity War, and then hearing Cap tell him 'we gotta learn to live, otherwise Thanos should've just killed all of us.' The rest of the film is good, but not quite as moving. My only real gripes are the way that Captain Marvel and the end battle are shoe-horned in, the movie would have been just as good without either.",2019-05-02,9,47,33,14,English
90,omer123,ENDGAME is a movie that i want to see sense the mcu inception it hits the jackpot in a way that i haven't even imagined and it give's everything a moviegoer and a comic lover what they want and love this by far my favorite mcu movie and of my favorite movies off all time in generations,2019-05-22,10,47,33,14,English
91,JKekaNVKZ,"When I go on premiere I wait what I’m wait from Endgame! BUT, I see all what I didn’t closely expect, and they (Moviemader team) did great job, if they have +1 hour, and no more “she’s not alone” please, I think this movie will be on 10/10, hope we see directors cut version in future)...",2019-04-29,8,47,33,14,English
92,maryolivia,"That's AMAZING!A true mix of emotions, the latter possesses the most EPIC battle of all.",2019-04-26,10,47,33,14,English
93,Dubeau,Endgame is a good ending for IW. The story starts really slow. Mainly because you have a lot to carry over from other movies. The story is kind of grounded and didn't resolve on a magical solution that much. The acting was really solid. The FX still amazing. What they did with Thor and Banner can be debatable but I found it justified in their own ways. The final battle was something for the eyes. I found interesting that there were still consequences to the choices they made. I give it a 78%. I wasn't blown away by the movie but very satisfied with the story in general.,2019-04-28,8,47,33,14,English
