,user,review,date,user_score,review_votes,review_upvotes,review_downvotes,language
10,Moish,"It left me very accomplished even with the fact of enemies not being that much of a challenge to the heroes and the main villan taking its time to win when it could just do it, but ultimately more accomplishing things like tying  loose ends from other movies far back that I didn't think will be talk about at all again giving the audience what already was kind of expecting but not in the way that we did, something that properly motivates and strong ideals for the villan a shaking emotional and full feeling end that leaves you wanting more like this.",2018-04-27,9,17,17,0,English
11,EnglishTony,"You're ready, right?  You watched all the previous films, Avengers, Age of Ultron, you saw Captain America Civil War, you suffered through the crap Ironman movies, just to be ready for this.  You're ready.  Sure.  You carefully rewatched all the Infinity Stone specific movies, Age of Ultron, Captain America the First Avenger, the Avengers, Thor the Dark World, Guardians of the Galaxy, Doctor Strange.  Then you watched Guardians again because it's really good.You're ready.  You got this.Right?You're not ready.  You're not ready.",2018-04-27,10,16,16,0,English
12,Moche1,"I expected to be disappointed, but this movie delivers on all fronts. Thanos is genuinely a revelation and thankfully not only feels completely real in the CGI sense but also capture every last detail of Brolin's performance. I was completely engrossed for the entire movie. The Russo's wield their own Infinity Gauntlet over the Marvel Universe with absolute control. My only reservation is whether the consequences will stick in the next part; I hope they remain brave and leave some in place. Superb!",2018-04-27,10,192,190,2,English
13,valdy,"one of The best Superhero movie of all time, the character are connected each other, the CGI is just perfect, and the story was mind blowing, this movie will five you sensation riding roller coaster, fell depressed, fear , fun , and tears all the way, some people need to watch the movie at least twice for understanding the story.",2018-04-27,10,54,53,1,English
14,joyal,"This movie is absolutely marvelous ! from the beginning to end, full on mind blowing actions ,hilarious  scenes And funny dialogues .Fast paced ; Highly engaging screenplay ; a lot of superheros in this movie! all are right fit ,everybody got their wonderful moments ! Stunning cinematography , great background score work . AND well talented perfect direction to this gigantic film !  INFINITY WAR IS OUTSTANDING ,EMOTIONAL, SHOCKING AND SPECTACULAR BLOCKBUSTER ENTERTAINMENTMY RATING -9.8 OUT OF 10 !!!",2018-04-27,10,52,51,1,English
15,Serraios,"""Avengers: Infinity War"" celebrates the first decade of the Marvel Cinematic Universe while building up to the grand finale of the first era of the franchise and conclusion of its third phase.The Avengers team up with the Guardians of the Galaxy to stop Thanos from collecting all the Infinity Stones and destroying half the universe. That's all that you know before seeing this film, but there is a lot more going on, so make sure you avoid all spoilers.The film offers humorous and fun moments by teaming up several of the cast members together, but it also completely breaks your heart and soul with some truly unexpected, dark and shocking turns. It's also a large scale production, with the Russo brothers offering their best directing yet. As a whole, this manages to top my personal list of MCU films and comic book based films in general, giving the promise of the next chapter to be even greater, if possible.",2018-04-27,10,41,40,1,English
16,Megajohn01,Marvel definitely has now solved their villain problem. I thought I had this film all figured out since usually all MCU films have a rather predictable formula. Nothing wrong with that though. This film throws the formula away and changes things up in many ways. This was a great breathe of fresh air in terms of storytelling. Yes the marvel trademarks are there still but the waybthe film was structured was far different that other MCU films prior and this is why it’s very special. The 3rd act was the epitome of a nail biter and the ending shocked even me a long time Marvel comics fans. I didn’t think they’d a tully do what they did. The entire film was a rollercoaster ride. A must see!!!,2018-04-27,10,80,78,2,English
17,Arean,"This is not a standard superhero movie. Nearly all of the Marvel Cinematic Universe movies from the past ten years have led up to this one. So you should watch all of those before you start watching Infinity War. Because this movie doesn't give you time to breath and catch up. Loads of characters, settings, items, references of which the movie assumes that you are familiar with them. It's a rollercoaster that doesn't let up.  After preparing for ages, Thanos is making his last moves. He is coming. Dread it, run from it, destiny still arrives. Dread. That word actually describes this movie really well. From the very first scene you already know that the stakes are enormous, the threat is immediate and all encompassing, and stopping Thanos truly feels like the greatest challenge in the universe. There are still jokes, heartfelt moments, marvelous special effects and hilarious jokes. Like you would expect from any MCU movie. And amazing special effects, scenery, tech ...There are loads of characters and none of them get a lot of screen time, yet there's still character development (naturally not for all of them, not even for all heroes).This is also a movie about decisions and choices. My only gripe with the movie is that some of those decisions and their consequences break my suspension of disbelief. The fate of the universe is at stake people, come on ... are you really going to do that?! After two days, I'm still processing the movie and may 3 2019 can't be there fast enough to conclude phase three of the MCU.It's a different kind of superhero movie and it's amazing. Go watch it.",2018-04-27,9,38,37,1,English
18,MJAC,Fantastic movie with a very detailed plot. Thanos also makes an amazing villain who believes what he is doing is best for the universe. Although there are so many major Marvel heroes the movie does not feel rushed or bloated,2018-04-27,10,33,32,1,English
19,dangers,"Marvel has managed to surround this movie with secrecy and there are multiple reasons why this was a great idea. This is why you should stay away from all spoilers. One thing that should be said though, is that no one can prepare you for this movie. Celebrating a decade long era, “Infinity War” delivers on all fronts, offering both fan-pleasing material, while also including some shocking and heartbreaking twists and moments. To quote Thanos: It’s perfectly balanced.",2018-04-27,10,62,60,2,English
20,silkLR,"Well play for the marvelverse, job is done, Thanos is great. Lot of places (space, earth, many planets, ...) but we alway understand the situation.",2018-04-27,10,31,30,1,English
21,NikoBoss323,This movie has hit all points at the highest level. It was hilarious at some points while still being heartwrenching at others. It portrayed all of the MCU characters very well and gave all of them major rolls in the story while not overpowering any one of them. This movie took major risks and I believe that Marvel executed it to perfection.,2018-04-27,10,31,30,1,English
22,Brock0Tac0,"A compelling storyline, complex villain, and incredible ensemble make for an entertaining and enjoyable ride. This film is packed with jaw-dropping visuals, exciting action, and surprising twists that will keep viewers on the edge of their seats from beginning to end. The film masterfully balances its numerous story arcs and characters to create a true spectacle that has never been done before. One of the true character standouts of the film is Thanos, portrayed by Josh Brolin. Brolin gives a compelling and heart wrenching performance as the film explores the trials and sacrifices Thanos must undergo as he travels the galaxy, hunting the six Infinity Stones. Other commendable performances in the film include Robert Downey Jr. as Iron Man, Tom Holland as Spider-Man, Benedict Cumberbatch as Doctor Strange, Zoe Saldana as Gamora, and Chris Pratt as Star-Lord. Alan Silvestri's incredible score adds a deeper layer to the film's story and is truly one of his best yet. Overall, Avengers: Infinity War is filled with heart, humor, and sacrifice that help redefine what a hero should be. The Russo brothers have crafted an epic of galactic proportions that will have fans contemplating long after the credits roll.",2018-04-27,10,30,29,1,English
23,Moviereviewer15,"Here are my spoiler-free thoughts of “Avengers: Infinity War”:10 years of buildup has lead to this. Marvel Studios promised a movie worth 10 years of building a cinematic universe. And, worth it, it sure as hell was. This IS Thanos’s movie. There are surprises no one is expecting. There are character interactions that will make people giddy. But, as much as the humor isn’t lost, even though some will want it to be brought down a bit, lucky for them, darkness isn’t abandoned. Because when Thanos shows up, consequences there are. Trust me when I say no one is prepared for what they see. “Avengers: Infinity War” is indeed worth the hype. One of the best Marvel movies ever. And, Thanos is the best Marvel movie villain ever. Josh Brolin NAILED him. And, that’s why this movie succeeded. Well done, Disney, Marvel Studios and Kevin Feige. You did it.I give “Infinity War” a 5-Star rating.⭐️⭐️⭐️⭐️⭐️Also, there is one surprise in this movie the anti-Disney trolls failed to spoil. And, that’s why I say to them when they try to spoil the movie: #NotTodayZurg.",2018-04-27,10,24,23,1,English
24,sgy0003,"Thanos is a very good villain. I expected a one-dimensional madman who talks nothing about destruction, but he actually had believable, understandable reasons on why he wanted to wipe out half of the universe.I also love the fact that everyone gets a screen time. I thought it was going to be one of those ""90 seconds for each character then move on to next"" bullcrap, but it shows everyone's motivation on why they are fighting Thanos.Last but not least, the ending so really shocking it left me saying ""what?"" repeatedly while the guy who was sitting next to be laugh at it.",2018-04-28,10,16,15,1,English
25,rtoale,"Here we go again, audience score high, critic score low. This movie is amazing but probably didn’t have enough social justice warrior action for them.",2018-04-27,9,16,15,1,English
26,The_T-10,"Okay, so in order to meet Thanos' demands, I will not write any spoiler here (At least for now). Truth is, I really feel bad for the quintet of The Russo Bros, the screenwriters (Markus &amp; Mcfeely), and Feige. They literally have the universe on their shoulders. Infinity War is unavoidably overstuffed, but one thing is for sure: Thanos is the main character in here. They didn't mess around with their ""the movie centers on Thanos"" advertising. This is the first MCU movie to have REAL (and I mean, REAL!) stakes, and felt almost real too (Loki's threat in The Avengers obviously had the usual ""aliens come to New York to invade Earth"" feels). The Russos (And the Screenwriters and Kevin Feige) really did the impossible, juggling no less than 30 characters (For comparison, ""CA: Civil War"" had roughly 15-20 characters at max).Final word: Thanos is the OG of the universe!!",2018-04-27,10,16,15,1,English
27,Creeper3455,"Ever since Iron Man made its way into theaters in 2008,that was the beginning of the ambitious Marvel Cinematic Universe,that,from there on out,went on like a New Super Mario Bros game. You complete some levels (the solo movies) all the way up to the final level (the Avengers movie) of each world (Phase).This definitely seems like the last level (almost) of World 3. After 10 Years of waiting we’re finally here,and the hype is so intense that if you say something negative,it almost seems like a crime. That’s why I’ll talk about the negatives first instead of the goods,given that nothing is as perfect as,say,24 Carat Gold. Aside from some unbalanced CG and the score (which needs its own paragraph),I want to take a moment and despise the marketing team. The movie was marketed as ‘’The Biggest Event Of All-Time’’ (a thing most movies are doing nowadays),although the commercials were amping it up to an Interstellar-like seriousness. And while it’s a damn good movie,I wouldn’t say that it’s as good as Interstellar or Once Upon a Time In America,given that selling it like that makes the movie look like a legendary event (which,in part,is supposed to be). Let’s hope the team won’t do the same thing with Avengers 4 and learn from the mistakes.Also,darn it,was the score by Alan Silvestri (Ready Player One and The Avengers) disappointing! Coming out of RPO,I was amping my expectations up for this score,but all I got was another generic Marvel score whose little cues and overall theme will be remembered for sure other than the whole tracklist.Now that the problems are out of the way,there’s a LOT to talk about the positives.I admire what writers Christopher Markus and Stephen McFeely (Civil War and The Winter Soldier) did with the story,resulting in a Dunkirk-like structure,where it’s divided in 3 separate stories that,by the end of the movie,get connected together perfectly (like a complicated Puzzle). It DOES feel like if it’s Part 1 of a much-bigger event (the arrival of Avengers 4 in about a year),especially given that we have 79 characters in the ring.Tone shifts every now and then,and it’s a good thing,since each member,with its own screen-time,surprisingly,give you a moment to laugh or cry (Yes,the quips and jokes are there,but none of them detract you from the central story). For example,when we have Iron Man with Banner,Strange and Wong,it gets serious,but when we have the Guardians,it gets funny all-the-way. This is the most ‘Shakespearean’ (I guess) Marvel movie since the first Thor,so be on the look for that. The part I was mostly curious to hear about was how the crowd was going to react to the end,but I won’t say what happened because spoilers.Thanos (played by Deadpool 2 star Josh Brolin) is probably the best written Marvel villain of all-time. I loved his motivation,his charisma,his design,and rife with lines like ‘’I could just snap my fingers and you’d all cease to exist’’ or ‘’Perfectly balanced as all things should be’’,you know right away he’s perfectly written. However,as much as I would go full fanboy for him,I wouldn’t say he is as great of a villain as,say,Killmonger. It’s certainly better than Loki,but where Killmonger came with a more realistic approach,I feel like Thanos didn’t have all the cards on the table to be a great villain,for me only. Everyone will mostly rave about him nonetheless,(even if they should). Oh,and the motion capture is amazing,so…Every actor/actress was amazing all the way,from Downey Jr to Evans to Pratt to Saldana to….Basically everyone.As I said,yeah,some of the effects are unbalanced,but that doesn’t mean the CG is bad. All of the effects are off the chain,especially,as I said,the motion capture on Thanos.Look,if you see Infinity War as a fan,you’ll definitely enjoy it,but as a marketing choice,you’ll probably see it as a disaster on every level. But (there’s always a but) my heart was pounding all the way through the end,I laughed and I didn’t cry for those moments (bit of a serious person),so… I’m surprised to say it,but I’m curious to see what will happen in Avengers 4. Now the annoying part is that I’m going to hear everyone scream in pain for that movie while I get comfy for Incredibles 2. Bring it on,I guess…",2018-04-27,8,16,15,1,English
29,Minh18121999,"Avengers Infinity War is a flawed masterpiece,a tense 149 minutes epic from start to finish.This film,similarly to BR 2049, filled with SO many surprises. IMO Thanos might be on par with Heath Ledger's Joker to become one of the finest villains ever put to the screen.It has at least 15 epic moments.The ENDING was WOW,probably in top 5 Endings in Superhero Films.That being said,it is flawed masterpiece,the pacing of the third act has some problems,and the weight of too many characters in one movie is very noticeable,but these are the type of flaws that are so inconsequential due to this thrilling beast.Still.this film is intense,emotionally resonant,fast paced,visually dazzling and techically a MASTERPIECE",2018-04-27,10,16,15,1,English
30,FearlessX7,"Fans of MCU will be delighted with this, action scenes are incredible and well done filmed. The fact of having so many main characters at the same time it reduces their plot development, but this is how it was to be done it. Amazing",2018-04-27,10,16,15,1,English
32,Raymoiful,"Infinity war is a movie with some good action, but incredibly poorly written and predictable plot. The whole movie feels like a huge shock factor stunt that aims to have emotional impact that weights down on the viewer but ultimately falls flat. The only emotion I felt leaving the cinema was regret for spending my money and anger at the creators of Infinity War, because frankly, there was a time I used to enjoy the MCU and felt like this movie that wanted to represent the climax of all the previous 18 movies ended up being a huge let down.A small advice. Next time when you will again try to create a dark movie with emotional impact, Marvel, try to be a little bit less obvious with your intentions and don't spoil the movie yourself by announcing sequels for all the supposedly killed off heroes before their ""sad deaths"". Be so kind and leave at least a small benefit of the doubt for the viewers. How can we feel sorry for a character's death when we already know said character, no matter how tearful threir dying scene is, will be brought back in the next movie? Do you think so little of your own fanbase? We all know the reason to why only the newer characters (with confirmed sequels) disappeared and the original stayed. We understand all the characters who died after the snap and Gamora who was sacrificed to get the Soul Stone will be coming back. And that it will be by the original Avengers doing in the Avengers 4. We understand it is the original surviving Avengers who are in true danger of dying for real in the MCU in the coming Avengers 4.That makes the characters whose deaths were not inflicted by the Soul Stone or Infinity Gauntlet possibly the only permanent deaths of Infinity War. At least Marvel gave us the benefit of the doubt there. You would think that it's these deaths Marvel takes extra care to make them be felt hard? Well, then you are sadly mistaken. The possible permanent deaths on the list include Heimdall, Loki &amp; Vision (Vision is AI, he can be saved in some way by Tony or Shuri), so characters who were killed off quickly without an afterthought in an opening scene!!! And in this light it brings the IW movie even lower.Always when character gets killed for a shock factor, with the only purpose to show how powerful the newest villain is (I see you Warriors Three), I cringe. As I have already stated, shock factor deaths are just a result of awful screenwriting. Hey Marvel, if you want to create a truly awesome, fear inducing villain, there are better ways to do it. Have you forgot everything about character building? The irony Marvel decided to kill off in this manner its arguably most complex &amp; popular villainous character makes it even worse. Loki was  introduced to us as a powerful magician who could trick even Odin, shapeshifter, user of telepathy, telekinesis, with inborn elementary ice magic, high intellect, manipulative deceiving skills who used to wield not one, but two infinity stones. Loki had Space Stone in his possession, he knew Thanos is coming for years and had time to prepare himself. Yet Loki is not shown fighting or using any of his skills.If someone told me before the IW that Marvel will make Loki go against Thanos with nothing but dagger out of all his skills, I would have laughed. Sorry but to give the very character that once threatened the whole planet of Earth and was the very reason project Avengers was created such a poor last stand was an awfully scripted mistake. Especially when he is the only big character truly dying in IW. The ""no resurrection"" remark as they felt the need to assure viewers that this time the trickster god is really gone was truly pathetic. And there is more than enough eye-roll inducing moments like this in IW movie.Gamora scene. That is HOW to make characters go with honour. Strong scene, with background story and fight. But again, I think she is coming back because her death is connected to the Soul Stone. If not, then this was the highlight of the movie. I sincerely doubt it tho.The only apspect I have praise for in this movie is the amazing acting. Marvel has put together incredibly talented cast and they are doing what they can to make the movie enjoyable. But their efforts are severely limited by the weak and predictable script. This has to be one of the worst movies in MCU.",2018-05-04,3,54,21,33,English
33,NikolayG,"Obvious. Not surprising. Consequences clearly are not permanent. Only Spidey, Strange, and Iron Man (who worked together apart from the other heroes for most of the movie) were interesting. The rest of the film was ponderous, depressing, obvious and slow. I really wish I had saved my time and money.",2018-05-01,3,56,21,35,English
34,ganoncrotch,"Absolutely fantastic, when you consider that there is over 20 characters clawing for screen time this feels like no one is left in the shadows, they all get their little moments to shine and character development as we have grown to know and love in the MCU.The development of Thanos as more than just a ""villain of the week"" is great, you get to see why he wants to do what he wants to do, you see the fight from his point of view and why he thinks people will not only accept what he does for them, but worship him as their saviour. One thing is for sure as you walk away from Infinity war.... you're going to be looking up the release date for the next MCU film to see where this goes.",2018-04-28,10,14,14,0,English
